Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
HTR2C 5-hydroxytryptamine (serotonin) receptor 2C,X80763_s_at,530,P,447,P,309,P,552,P,670,P,298,P,269,P,261,P,449,P,694,P,375,P,411,P,444,P,289,P,381,P,610,P,417,P,361,P,790,P,473,P,479,P,410,M,559,P,396,P,404,P,408,P,478,P,746,P,613,P,494,P,497,P,511,P,522,P,305,P,331,P,426,P,506,P,664,P,"
"
HMG2 High-mobility group (nonhistone chromosomal) protein 2,X62534_s_at,1688,P,1745,P,2127,P,917,P,581,P,764,P,5202,P,3090,P,1159,P,3157,P,1336,P,1890,P,2661,P,4622,P,978,P,1547,P,1899,P,1933,P,524,P,1642,P,2318,P,1579,P,3050,P,4234,P,2302,P,1263,P,2578,P,907,P,1084,P,3078,P,1856,P,3213,P,2174,P,2937,P,1080,P,806,P,719,P,910,P,"
"
THYMOSIN BETA-10,S54005_s_at,8231,P,6678,P,8644,P,4823,P,5032,P,3449,P,8020,P,10267,P,11554,P,4548,P,5136,P,5428,P,14377,P,1821,P,5089,P,7361,P,5668,P,8520,P,2815,P,10026,P,13494,P,8309,P,13650,P,8151,P,7035,P,4893,P,6335,P,4241,P,3291,P,5513,P,4354,P,2305,P,3532,P,3002,P,8758,P,6778,P,6503,P,3015,P,"
"
"Transcription factor E2F like protein [human, mRNA, 2492 nt]",S49592_s_at,815,P,1159,P,339,P,551,P,1590,P,439,P,1193,P,859,P,709,P,1667,P,782,P,844,P,944,P,747,P,927,P,1026,P,583,P,1251,P,1137,P,952,P,1425,P,1218,P,1312,P,1005,P,1067,P,697,P,604,P,1153,P,634,P,1476,P,706,P,991,P,869,P,422,P,853,P,495,P,673,P,1227,P,"
"
EIF5A Eukaryotic translation initiation factor 5A,S72024_s_at,778,P,1575,P,729,P,902,P,872,P,229,P,491,P,1256,P,546,P,2116,P,630,P,464,P,864,P,93,P,414,P,534,P,556,P,218,P,1079,P,187,P,934,P,1250,P,638,P,803,P,1510,P,1221,P,928,P,511,P,382,P,1173,P,1875,P,852,P,1188,P,1422,P,1503,P,871,P,1029,P,1344,P,"
"
Liver mRNA fragment DNA binding protein UPI homologue (C-terminus),X04347_s_at,7952,P,8007,P,8590,P,4837,P,5900,P,7776,P,11147,P,11945,P,13266,P,14305,P,12480,P,13200,P,14969,P,21800,P,9800,P,8801,P,8652,P,10379,P,11399,P,8200,P,7378,P,11252,P,13380,P,16104,P,14090,P,9518,P,9568,P,8908,P,6525,P,7940,P,11157,P,13782,P,13343,P,13435,P,8528,P,8328,P,7667,P,8577,P,"
"
HNRPA1 Heterogeneous nuclear ribonucleoprotein A1,U00947_s_at,7544,P,6458,P,6756,P,5502,P,7994,P,3920,P,6682,P,7083,P,7504,P,18335,P,5061,P,7537,P,17992,P,11922,P,9157,P,8195,P,8189,P,6181,P,7673,P,9020,P,7222,P,5777,P,11530,P,7980,P,11075,P,8338,P,6966,P,9149,P,6924,P,6705,P,7799,P,10985,P,13671,P,7473,P,9282,P,6356,P,6777,P,9770,P,"
"
Chromosome 1q subtelomeric sequence D1S553,U06155_s_at,16627,P,16263,P,16907,P,24678,P,22446,P,19269,P,17921,P,14709,P,16885,P,11986,P,18651,P,18402,P,9923,P,16869,P,13486,P,15906,P,17607,P,16741,P,23874,P,13660,P,18795,P,23447,P,13607,P,18936,P,17279,P,15302,P,24462,P,16661,P,24398,P,19580,P,16252,P,18270,P,14844,P,17395,P,13461,P,346,P,17193,P,16928,P,"
"
Heterochromatin protein HP1Hs-gamma mRNA,U26312_s_at,508,P,442,P,693,P,161,P,260,P,232,P,466,P,673,P,636,P,1040,P,295,P,409,P,1203,P,769,P,105,P,543,P,220,P,191,P,250,P,545,P,736,P,496,P,944,P,569,P,616,P,593,P,597,P,271,P,156,P,273,P,296,P,246,P,343,P,611,P,431,P,231,P,403,P,266,P,"
"
Splicing factor SRp40-1 (SRp40) mRNA,U30827_s_at,1564,P,869,P,1520,P,1270,P,1047,P,626,P,2361,P,1911,P,1992,P,2864,P,388,P,1514,P,7315,P,744,P,852,P,1458,P,1087,P,847,P,491,P,1467,P,941,P,992,P,1330,P,785,P,1415,P,990,P,842,P,1129,P,480,P,1894,P,1271,P,1315,P,1499,P,991,P,923,P,665,P,1678,P,2281,P,"
"
"Partial cDNA sequence, clone x101, putative microtubule-associated; protein 1A (MAP1A)",Z47038_s_at,1056,P,1009,P,477,P,1258,P,1326,P,612,P,466,P,599,P,799,P,1967,P,567,P,596,P,888,P,549,P,778,P,1093,P,837,P,564,P,1012,P,1181,P,983,P,1065,P,1454,P,566,P,1123,P,709,P,993,P,915,P,1156,P,1060,P,1112,P,1030,P,1042,P,628,P,1068,P,838,P,1216,P,1401,P,"
"
Enhancer of rudimentary homolog mRNA,Z49148_s_at,13947,P,15454,P,15614,P,14372,P,10340,P,16050,P,15161,P,16082,P,17802,P,15251,P,16024,P,17450,P,16382,P,717,P,7572,P,15083,P,17626,P,14943,P,15368,P,17262,P,12191,P,12808,P,16737,P,16655,P,16437,P,17070,P,14617,P,16412,P,14424,P,15151,P,16254,P,16474,P,16846,P,18646,P,16073,P,15388,P,16072,P,15758,P,"
"
Ubiquitin-homology domain protein PIC1 mRNA,U67122_s_at,857,P,272,P,463,P,181,P,335,P,500,P,772,P,722,P,759,P,1204,P,362,P,278,P,1332,P,915,P,443,P,765,P,557,P,354,P,111,P,1775,P,1026,P,769,P,1301,P,796,P,1691,P,782,P,599,P,413,P,235,P,499,P,773,P,525,P,834,P,692,P,636,P,435,P,612,P,796,P,"
"
PABPL1 Poly(A)-binding protein-like 1,U68105_s_at,5692,P,6490,P,7195,P,4844,P,3573,P,4124,P,4793,P,8161,P,4602,P,8698,P,4438,P,4254,P,7537,P,8507,P,3088,P,10035,P,4173,P,3858,P,4216,P,7041,P,4083,P,4109,P,9172,P,4490,P,8199,P,10548,P,3960,P,8491,P,4753,P,6358,P,7926,P,5144,P,6446,P,5244,P,8003,P,5608,P,6461,P,8048,P,"
"
Polyadenylate binding protein II,Z48501_s_at,8418,P,11464,P,9349,P,8501,P,7147,P,7890,P,6958,P,11899,P,6535,P,14646,P,5751,P,4662,P,9423,P,2707,P,4032,P,13925,P,8182,P,4738,P,5501,P,11569,P,9735,P,12415,P,11768,P,7699,P,11586,P,14111,P,7918,P,14923,P,7756,P,17637,P,15156,P,14974,P,15314,P,7781,P,17059,P,11691,P,14495,P,17701,P,"
"
PHAPI2b protein,U70439_s_at,4531,P,3426,P,2889,P,2434,P,2443,P,3328,P,5589,P,6117,P,3248,P,10534,P,4198,P,3414,P,7513,P,7540,P,1233,P,2978,P,3707,P,4559,P,2404,P,4411,P,5131,P,6022,P,11505,P,7747,P,7021,P,6059,P,5881,P,3590,P,3243,P,5381,P,7111,P,6495,P,8445,P,6144,P,4106,P,4484,P,5091,P,5452,P,"
"
P68 PROTEIN,X15729_s_at,2840,P,1939,P,2747,P,2437,P,2166,P,954,P,4673,P,2988,P,4266,P,5062,P,1213,P,2367,P,7411,P,3597,P,2375,P,3169,P,2358,P,1652,P,1307,P,3719,P,3168,P,1911,P,3913,P,1835,P,4006,P,1944,P,2002,P,3504,P,1466,P,2970,P,1971,P,2413,P,2633,P,1629,P,2387,P,1511,P,3471,P,3377,P,"
"
JunD mRNA,X56681_s_at,11038,P,5763,P,7880,P,9313,P,17824,P,12007,P,12034,P,7810,P,5025,P,13163,P,3790,P,12339,P,15667,P,14895,P,16296,P,9081,P,19906,P,15025,P,8852,P,18550,P,8395,P,6691,P,14466,P,17694,P,18092,P,7974,P,10800,P,15579,P,6927,P,17473,P,16131,P,18115,P,20008,P,10381,P,18427,P,11399,P,20905,P,19894,P,"
"
"RNA polymerase II largest subunit gene extracted from H.sapiens gene for RNA pol II largest subunit, exon 1",X74874_rna1_s_at,786,P,633,P,394,P,813,P,884,P,304,P,1086,P,1214,P,580,P,1065,P,290,M,487,P,1283,P,592,P,591,P,1081,P,624,P,932,P,555,P,1354,P,644,P,702,P,897,P,757,P,1268,P,784,P,1018,P,871,P,432,P,1055,P,1372,P,1799,P,1478,P,550,P,1543,P,506,P,920,P,684,P,"
"
"Integrin associated protein mRNA,",Z25521_s_at,1201,P,1145,P,1824,P,1270,P,800,P,606,P,914,P,1832,P,1079,P,4513,P,662,P,1228,P,2117,P,930,P,614,P,1135,P,560,P,977,P,736,P,2302,P,3241,P,1863,P,5405,P,1056,P,1727,P,1146,P,1025,P,2037,P,608,P,1046,P,818,P,1189,P,942,P,1008,P,831,P,639,P,2013,P,847,P,"
"
BETA-2-MICROGLOBULIN PRECURSOR,S82297_at,9712,P,10177,P,10411,P,15906,P,13491,P,15498,P,11377,P,8694,P,10877,P,7732,P,12915,P,12501,P,6577,P,1971,P,12984,P,8384,P,11551,P,9246,P,11812,P,9336,P,11723,P,16421,P,8891,P,11955,P,8079,P,9068,P,8358,P,9010,P,11349,P,11462,P,10225,P,10039,P,9450,P,15536,P,8768,P,13263,P,10599,P,9954,P,"
"
"Small Nuclear Ribonucleoprotein U1, 1snrp",HG4557-HT4962_at,317,P,244,P,377,P,297,P,358,P,194,P,596,P,465,P,463,P,734,P,230,P,238,P,1121,P,1083,P,359,P,504,P,311,P,309,P,234,P,658,P,331,P,305,P,249,P,236,P,675,P,399,P,348,P,581,P,394,P,250,P,190,P,420,P,261,P,323,P,208,P,261,P,505,P,367,P,"
"
"ZNF91 Zinc finger protein 91 (HPF7, HTF10)",L11672_at,8409,P,6873,P,4278,P,5368,P,9591,P,3503,P,6150,P,5106,P,5962,P,10625,P,3049,P,5057,P,10626,P,7314,P,4585,P,8166,P,4571,P,8839,P,4769,P,6711,P,10142,P,5711,P,6741,P,6129,P,6088,P,5791,P,5567,P,9895,P,6181,P,4380,P,3864,P,4793,P,3737,P,1677,P,4224,P,3575,P,6022,P,6249,P,"
"
"ZNF91 Zinc finger protein 91 (HPF7, HTF10)",L11672_r_at,5056,P,2355,P,1252,P,1557,P,5201,P,747,P,3844,P,2333,P,2999,P,3258,P,591,P,1837,P,6101,P,5118,P,1540,P,3159,P,1514,P,3629,P,1742,P,3888,P,3583,P,1954,P,3420,P,1288,P,3894,P,3367,P,2756,P,2474,P,2228,P,722,P,685,P,1322,P,794,P,663,P,1050,P,873,P,2652,P,2891,P,"
"
"Neurofilament triplet L protein mRNA, partial cds",U57341_r_at,6078,P,7160,P,3449,P,6793,P,7209,P,5093,P,3342,P,3847,P,4164,P,7492,P,3008,P,4158,P,4621,P,2441,P,4325,P,4161,P,4659,P,3329,P,6561,P,5383,P,7157,P,6364,P,7439,P,4456,P,4589,P,4884,P,4708,P,6387,P,4772,P,7591,P,6352,P,5803,P,7326,P,2608,P,5233,P,7617,P,8586,P,8397,P,"
"
TNNT2 gene exon 11,X98482_r_at,13665,P,11275,P,12465,P,25426,P,19434,P,13818,P,15440,P,14117,P,15433,P,11938,P,16258,P,14620,P,15837,P,15421,P,11497,P,14915,P,13845,P,15196,P,20233,P,16658,P,15568,P,27089,P,7483,P,18687,P,18793,P,15294,P,18133,P,9398,P,16600,P,17935,P,13628,P,18443,P,14102,P,6081,P,13786,P,18188,P,10870,P,9746,P,"
"
"Major Histocompatibility Complex, Class I (Gb:X12432)",HG3597-HT3800_f_at,9017,P,3434,P,2839,P,3430,P,6676,P,5218,P,10658,P,7704,P,3130,P,9716,P,4575,P,5295,P,8942,P,2197,P,4150,P,3567,P,7874,P,9642,P,4058,P,6913,P,4112,P,1454,P,3610,P,2784,P,2093,P,6636,P,1313,P,3906,P,5277,P,11486,P,6848,P,3269,P,6028,P,6459,P,8243,P,3536,P,4744,P,9255,P,"
"
"Tubulin, Beta 2",HG1980-HT2023_at,3793,P,4668,P,3305,P,4104,P,1939,P,669,P,4462,P,6251,P,3938,P,3915,P,2528,P,3436,P,3281,P,7928,P,779,P,3397,P,2840,P,5035,P,1373,P,1748,P,2658,P,2354,P,8086,P,3135,P,3401,P,1464,P,2319,P,3207,P,2305,P,8800,P,8030,P,4255,P,3798,P,2453,P,7890,P,3877,P,5341,P,3737,P,"
"
RPL7A Ribosomal protein L7a,M36072_at,12923,P,14392,P,14312,P,14145,P,14190,P,17168,P,12386,P,12760,P,14370,P,13220,P,16252,P,13732,P,9683,P,13082,P,12426,P,14870,P,15468,P,13426,P,17142,P,12948,P,12755,P,16330,P,12784,P,15860,P,15409,P,14808,P,14372,P,13747,P,12616,P,15169,P,13364,P,15180,P,14396,P,15865,P,13569,P,18619,P,14479,P,15451,P,"
"
Alpha-tubulin mRNA,X01703_at,2620,P,1107,P,2087,P,152,P,2367,P,1951,P,2255,P,1797,P,2329,P,3759,P,1172,P,416,P,6550,P,8070,P,1256,P,1723,P,1699,P,2170,P,1087,P,4782,P,2396,P,1086,P,6745,P,6035,P,5198,P,883,P,1506,P,1166,P,651,P,1545,P,556,P,503,P,2421,P,1386,P,3632,P,1714,P,4126,P,4682,P,"
"
RPS26 Ribosomal protein S26,X69654_at,14339,P,8995,P,3407,P,9501,P,13139,P,9679,P,6609,P,12996,P,5844,P,17340,P,8179,P,3463,P,9984,P,10260,P,3061,P,15264,P,4503,P,10194,P,4657,P,5086,P,9748,P,6280,P,14776,P,4398,P,5914,P,10724,P,8461,P,15355,P,4222,P,8360,P,9988,P,3885,P,12725,P,17186,P,4888,P,5716,P,13914,P,5333,P,"
"
GARS Glycyl-tRNA synthetase,U09587_at,1492,P,1101,P,1419,P,1113,P,1310,P,423,P,1597,P,1658,P,1566,P,2687,P,1483,P,1923,P,3557,P,3231,P,961,P,1360,P,813,P,1436,P,1398,P,1817,P,1496,P,1154,P,2857,P,1462,P,2383,P,1388,P,1554,P,1168,P,1007,P,1294,P,1858,P,1594,P,1619,P,1185,P,1753,P,1188,P,868,P,949,P,"
"
"Omega light chain protein 14.1 (Ig lambda chain related) gene, exon 3",M34516_r_at,4120,P,2029,P,1926,P,725,P,2037,P,559,P,991,P,786,P,371,P,5924,P,9380,P,640,P,877,P,6492,P,789,P,641,P,652,P,955,P,3629,P,3348,P,690,P,890,P,1085,P,640,P,818,P,1223,P,811,P,6797,P,1594,P,5851,P,6253,P,1192,P,1176,P,845,P,2990,P,1130,P,1005,P,2276,P,"
"
"HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)",D32129_f_at,7118,P,6779,P,8732,P,5586,P,10294,P,7372,P,15435,P,15728,P,3104,P,12875,P,8098,P,7563,P,12554,P,3711,P,16322,P,4768,P,13713,P,13714,P,5292,P,14580,P,5243,P,2633,P,6380,P,3847,P,5138,P,12962,P,1795,P,7268,P,6073,P,18095,P,12239,P,6274,P,8723,P,11384,P,15224,P,8454,P,7371,P,9063,P,"
"
Transcription Factor Btf3b,HG1515-HT1515_f_at,2829,P,3935,P,3033,P,3839,P,2774,P,3696,P,3052,P,5917,P,4746,P,9194,P,3085,P,4367,P,10397,P,5112,P,3190,P,6100,P,4813,P,3175,P,3028,P,4197,P,3848,P,3362,P,7454,P,4415,P,6223,P,4972,P,4455,P,5662,P,3294,P,3695,P,4665,P,4015,P,5974,P,4981,P,5350,P,3622,P,4598,P,4656,P,"
"
"Major Histocompatibility Complex, Class I, E (Gb:M20022)",HG2915-HT3059_f_at,7531,P,5252,P,2911,P,3481,P,6014,P,4912,P,9826,P,11837,P,3198,P,4628,P,5218,P,4757,P,12561,P,438,P,4150,P,3574,P,6722,P,7874,P,1653,P,8445,P,3383,P,3314,P,4965,P,2184,P,3277,P,5473,P,1567,P,4869,P,2880,P,14698,P,9255,P,3633,P,8217,P,6040,P,10426,P,3486,P,8714,P,7908,P,"
"
"Major Histocompatibility Complex, Class I, E (Gb:M21533)",HG2917-HT3061_f_at,7632,P,5700,P,3719,P,4150,P,5645,P,4499,P,11134,P,12184,P,3615,P,5627,P,4725,P,5358,P,13745,P,533,P,3865,P,3197,P,6488,P,7487,P,2490,P,7445,P,3274,P,3158,P,4445,P,2399,P,3348,P,5416,P,1441,P,5752,P,3243,P,12738,P,10499,P,2688,P,8120,P,4822,P,10238,P,3540,P,8341,P,9322,P,"
"
"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(1) BETA CHAIN PRECURSOR",K02405_f_at,2730,P,1383,P,593,P,562,P,1232,P,1133,P,3130,P,1980,P,573,P,862,P,5046,P,2548,P,5050,P,705,P,1409,P,654,P,1354,P,1099,P,755,P,772,P,208,P,357,P,582,P,246,M,236,P,486,P,199,P,602,P,1221,P,2261,P,1293,P,1054,P,1459,P,789,P,1831,P,1866,P,2153,P,2202,P,"
"
"ACTB Actin, beta",X00351_f_at,21210,P,17558,P,18530,P,20530,P,16998,P,14925,P,17084,P,19599,P,19112,P,22677,P,22483,P,12044,P,15569,P,868,P,7595,P,19009,P,10928,P,16565,P,15845,P,21059,P,24284,P,33638,P,22300,P,20367,P,18571,P,20761,P,19696,P,16033,P,10461,P,26861,P,17479,P,11182,P,16875,P,9185,P,21780,P,21615,P,24509,P,18027,P,"
"
GAPD Glyceraldehyde-3-phosphate dehydrogenase,X01677_f_at,13771,P,13818,P,15619,P,18707,P,11529,P,23032,P,15408,P,13935,P,15038,P,14750,P,17487,P,15680,P,11338,P,2518,P,16023,P,14012,P,17510,P,13509,P,17145,P,15097,P,17372,P,27972,P,15589,P,18407,P,17649,P,13972,P,23572,P,13945,P,16720,P,18335,P,16801,P,16520,P,13858,P,19231,P,15522,P,17674,P,14571,P,15508,P,"
"
"Major Histocompatibility Complex, Class I, C (Gb:X58536)",HG658-HT658_f_at,14476,P,8955,P,8443,P,9541,P,15739,P,11348,P,15086,P,14741,P,4700,P,10971,P,10694,P,10250,P,13479,P,10409,P,16303,P,10672,P,12816,P,15087,P,6654,P,13686,P,6557,P,3632,P,7638,P,6042,P,6011,P,11387,P,2145,P,8105,P,7771,P,16619,P,13587,P,11301,P,10546,P,9357,P,13534,P,10144,P,10371,P,12284,P,"
"
Transcriptional activator hSNF2b,U29175_at,1582,P,743,P,626,P,552,P,572,P,219,P,1322,P,1636,P,2076,P,917,P,453,P,1661,P,2173,P,3707,P,295,P,1456,P,404,P,1982,P,949,P,624,P,753,P,1157,P,1775,P,756,P,1972,P,732,P,1387,P,454,P,391,P,412,P,393,P,286,P,428,P,314,P,208,P,385,P,687,P,248,P,"
"
